dataset_accession,matrix_file,platform,feature_id,gene_symbol_raw,gene_symbol,is_annotated_to_gene,duplicate_feature_count_for_gene,recommended_probe_collapse_rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,TNFRSF21,TNFRSF21,TNFRSF21,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,GALNT10,GALNT10,GALNT10,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,Decorin,DECORIN,DECORIN,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,SYNPO,SYNPO,SYNPO,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,VEGFR2,VEGFR2,VEGFR2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,RAB7B,RAB7B,RAB7B,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,GALNT14,GALNT14,GALNT14,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,FGF22,FGF22,FGF22,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,KIAA1370,KIAA1370,KIAA1370,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,AKT1,AKT1,AKT1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,VEGFC,VEGFC,VEGFC,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CCR5,CCR5,CCR5,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,GLS1(KGAselective),"","",no,,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,ST3GAL2,ST3GAL2,ST3GAL2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,ANK3,ANK3,ANK3,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,ICOS,ICOS,ICOS,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CCNB1,CCNB1,CCNB1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,MAP2K4,MAP2K4,MAP2K4,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,MAPK7,MAPK7,MAPK7,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,IL3,IL3,IL3,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,FOXO1,FOXO1,FOXO1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,LTF,LTF,LTF,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,SQLE,SQLE,SQLE,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,GPR160,GPR160,GPR160,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,TOP1,TOP1,TOP1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,GLUT1,GLUT1,GLUT1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,ORC6L,ORC6L,ORC6L,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,KDM2B,KDM2B,KDM2B,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,HLX,HLX,HLX,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,EVPL,EVPL,EVPL,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,IGFR,IGFR,IGFR,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,ESR2,ESR2,ESR2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,EGFR,EGFR,EGFR,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,Fra,FRA,FRA,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,PIK3CD,PIK3CD,PIK3CD,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,RBP7,RBP7,RBP7,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,KRAS2,KRAS2,KRAS2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CD8b,CD8B,CD8B,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,PIK3CB,PIK3CB,PIK3CB,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,GLS1,GLS1,GLS1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,PREX2,PREX2,PREX2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CDKN3,CDKN3,CDKN3,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,GATA3,GATA3,GATA3,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CXCR2,CXCR2,CXCR2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,TIE1,TIE1,TIE1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,FLT3,FLT3,FLT3,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,LKB1,LKB1,LKB1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,SASH1,SASH1,SASH1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,HLAC,HLAC,HLAC,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,TGFB3,TGFB3,TGFB3,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,ENTPD5,ENTPD5,ENTPD5,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,FXYD5,FXYD5,FXYD5,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,PARK2,PARK2,PARK2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,SOCS1,SOCS1,SOCS1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,IFI35,IFI35,IFI35,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,HSPA4L,HSPA4L,HSPA4L,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,MUC16,MUC16,MUC16,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,HSP90,HSP90,HSP90,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,ATR,ATR,ATR,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,DTL,DTL,DTL,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,ABCA2,ABCA2,ABCA2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,TYMS,TYMS,TYMS,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,BMP4,BMP4,BMP4,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,NCAPH2,NCAPH2,NCAPH2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,ERK1,ERK1,ERK1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,BUB1,BUB1,BUB1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,SAPCD2,SAPCD2,SAPCD2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,S100A14,S100A14,S100A14,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,ROCK1,ROCK1,ROCK1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CCNA2,CCNA2,CCNA2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,MET,MET,MET,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,LMTK3,LMTK3,LMTK3,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,TACSTD2,TACSTD2,TACSTD2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CDH2,CDH2,CDH2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,EIF4EBP1,EIF4EBP1,EIF4EBP1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,AREG,AREG,AREG,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,ISG15,ISG15,ISG15,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,MYBL2,MYBL2,MYBL2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,ARAF,ARAF,ARAF,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,SOCS2,SOCS2,SOCS2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,ESM1,ESM1,ESM1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,IGFBP2,IGFBP2,IGFBP2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,NR3C1,NR3C1,NR3C1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CLDN1,CLDN1,CLDN1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,TCF3,TCF3,TCF3,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,KLB,KLB,KLB,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,TJP3,TJP3,TJP3,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,GREB1,GREB1,GREB1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,TRIP13,TRIP13,TRIP13,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CCL2,CCL2,CCL2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,BRCA2,BRCA2,BRCA2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,MRP4,MRP4,MRP4,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,FAS,FAS,FAS,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,B7H4,B7H4,B7H4,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,MEK,MEK,MEK,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,PDL2,PDL2,PDL2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CD45,CD45,CD45,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,YPEL2,YPEL2,YPEL2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,DDB2,DDB2,DDB2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,ATM,ATM,ATM,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,LIMK2,LIMK2,LIMK2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,PIK3R1,PIK3R1,PIK3R1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,ADORA2B,ADORA2B,ADORA2B,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,APLNR,APLNR,APLNR,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,FOXM1,FOXM1,FOXM1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CD4,CD4,CD4,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,TTK,TTK,TTK,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,ERBB4,ERBB4,ERBB4,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CD10,CD10,CD10,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,PPM1D,PPM1D,PPM1D,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,PTEN,PTEN,PTEN,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,SFRP1,SFRP1,SFRP1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,TOP2,TOP2,TOP2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,SNAI1,SNAI1,SNAI1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,GAB2,GAB2,GAB2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,STAMBPL1,STAMBPL1,STAMBPL1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,TNIK,TNIK,TNIK,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,PDZK1IP1,PDZK1IP1,PDZK1IP1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,RECQL,RECQL,RECQL,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,MEN1,MEN1,MEN1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,APOD,APOD,APOD,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,RND1,RND1,RND1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,ALDH3A1,ALDH3A1,ALDH3A1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,PRKACB,PRKACB,PRKACB,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CDC25B,CDC25B,CDC25B,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,MYBL1,MYBL1,MYBL1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,RRM2,RRM2,RRM2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CDKN1A,CDKN1A,CDKN1A,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,FGF9,FGF9,FGF9,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,DNAPK,DNAPK,DNAPK,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,TOP2B,TOP2B,TOP2B,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,NKX31,NKX31,NKX31,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CDCA5,CDCA5,CDCA5,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,FoxP3,FOXP3,FOXP3,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,UNC5B,UNC5B,UNC5B,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,THY1,THY1,THY1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,TP53INP1,TP53INP1,TP53INP1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,MTOR,MTOR,MTOR,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,MTHFD1,MTHFD1,MTHFD1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,TUBA4A,TUBA4A,TUBA4A,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,EXO1,EXO1,EXO1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CEP55,CEP55,CEP55,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,VEGFR3,VEGFR3,VEGFR3,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,BCL2,BCL2,BCL2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,TSC1,TSC1,TSC1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,NOTCH1,NOTCH1,NOTCH1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,PECAM1,PECAM1,PECAM1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,ARHGAP8,ARHGAP8,ARHGAP8,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,FLJ10587,FLJ10587,FLJ10587,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,GSR,GSR,GSR,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,MICA,MICA,MICA,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,EDG2,EDG2,EDG2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,IDO,IDO,IDO,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,APPBP2,APPBP2,APPBP2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,BMP9,BMP9,BMP9,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,LGR5,LGR5,LGR5,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,FN1,FN1,FN1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CD3e,CD3E,CD3E,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,GDNF,GDNF,GDNF,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,EPHA4,EPHA4,EPHA4,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,HIP1R,HIP1R,HIP1R,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,SERPINE2,SERPINE2,SERPINE2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,TMEM191A,TMEM191A,TMEM191A,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,LGALS8_all,LGALS8_ALL,LGALS8_ALL,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,KDM3B,KDM3B,KDM3B,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,AKT1S1,AKT1S1,AKT1S1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,TMEM158,TMEM158,TMEM158,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,S100P,S100P,S100P,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CDK1,CDK1,CDK1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,LGALS1,LGALS1,LGALS1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,Puma,PUMA,PUMA,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,NaPi3B,NAPI3B,NAPI3B,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,NPAS2,NPAS2,NPAS2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,NRP1,NRP1,NRP1,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,EGFL7,EGFL7,EGFL7,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,KIT,KIT,KIT,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,CXCL10,CXCL10,CXCL10,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,ROCK2,ROCK2,ROCK2,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
GSE109710,GSE109710_series_matrix.txt.gz,GPL24546,EOMES,EOMES,EOMES,yes,1,collapse duplicate probes only with an outcome-blind pre-specified rule
